Facility Name,CMS Certification Number (CCN),City,Total Performance Score,PY2020 Payment Reduction Percentage,"Ownership as of December 31, 2018"
HUDSON VALLEY DIALYSIS CENTER,332571,TARRYTOWN,55,0.50%,DAVITA
"RENAL CARE OF ROCKLAND, INC.",332572,VALLEY COTTAGE,45,1.00%,NOT A CHAIN
PEEKSKILL-CORTLANDT DIALYSIS CTR,332574,CORTLANDT MANOR,76,0.00%,DAVITA
BRONX RIVER DIALYSIS,332576,BRONX,67,0.00%,NOT A CHAIN
FMS-ATLANTIC PERITONEAL DIALYSIS CENTER,332579,BROOKLYN,91,0.00%,FRESENIUS MEDICAL CARE
UNIV. DIALYSIS CTR @ OSWEGO,332580,OSWEGO,46,1.00%,"DIALYSIS CLINIC, INC."
BROOKDALE PHYSICIANS DIALYSIS ASSOCIATES,332581,BROOKLYN,64,0.00%,RENAL RESEARCH INSTITUTE
NEW YORK RENAL ASSOCIATES,332582,BRONX,57,0.50%,NOT A CHAIN
QUEENS DIALYSIS CENTER,332583,JAMAICA,45,1.00%,DAVITA
UNIV DIALYSIS CTR @ AUBURN,332584,AUBURN,64,0.00%,"DIALYSIS CLINIC, INC."
"NEW YORK DIALYSIS SERVICES, INC.",332585,VICTOR,74,0.00%,FRESENIUS MEDICAL CARE
FMS-AMSTERDAM DIALYSIS CENTER,332586,AMSTERDAM,59,0.00%,FRESENIUS MEDICAL CARE
SPRINGFIELD DIALYSIS CENTER,332587,JAMAICA,53,0.50%,NOT A CHAIN
BOSTON POST ROAD DIALYSIS CENTER,332588,BRONX,49,0.50%,DAVITA
KEW GARDENS DIALYSIS CENTER,332589,KEW GARDENS,34,1.50%,NOT A CHAIN
SOUNDVIEW DIALYSIS CENTER,332590,BRONX,60,0.00%,DAVITA
PORT WASHINGTON DIALYSIS CENTER,332591,PORT WASHINGTON,75,0.00%,DAVITA
LYNBROOK DIALYSIS CENTER,332592,LYNBROOK,59,0.00%,DAVITA
UPPER EAST SIDE DIALYSIS CENTER,332593,NEW YORK,47,1.00%,NOT A CHAIN
FMS-ST. ALBAN'S DIALYSIS CENTER,332595,JAMAICA,50,0.50%,FRESENIUS MEDICAL CARE
DYKER HEIGHTS DIALYSIS CENTER,332596,BROOKLYN,75,0.00%,DAVITA
"KNICKERBOCKER DIALYSIS, INC.",332597,TONAWANDA,50,0.50%,DAVITA
MIDWOOD DIALYSIS,332598,BROOKLYN,57,0.50%,DAVITA
WHITE PLAINS DIALYSIS,332599,WHITE PLAINS,56,0.50%,DAVITA
"KNICKERBOCKER DIALYSIS, INC.",332600,AMHERST,62,0.00%,DAVITA
YONKERS DIALYSIS CENTER,332602,YONKERS,64,0.00%,DAVITA
QUEENS VILLAGE DIALYSIS CENTER,332603,QUEENS VILLAGE,59,0.00%,DAVITA
SHEEPSHEAD BAY RENAL CARE CENTER,332604,BROOKLYN,70,0.00%,DAVITA
GARDEN CITY DIALYSIS CENTER,332605,GARDEN CITY,67,0.00%,DAVITA
SOUND SHORE DIALYSIS CENTER,332606,NEW ROCHELLE,64,0.00%,RENAL RESEARCH INSTITUTE
CHINATOWN DIALYSIS CENTER INC,332607,NEW YORK,75,0.00%,NOT A CHAIN
"KNICKERBOCKER DIALYSIS, INC.",332608,ORCHARD PARK,62,0.00%,DAVITA
"WEST NASSAU DIALYSIS CTR, INC",332610,VALLEY STREAM,60,0.00%,NOT A CHAIN
FMS-MORRIS PARK,332612,BRONX,56,0.50%,FRESENIUS MEDICAL CARE
FMS-EASTCHESTER,332613,BRONX,55,0.50%,FRESENIUS MEDICAL CARE
YORKTOWN AKC,332614,YORKTOWN HEIGHTS,69,0.00%,"DIALYSIS CLINIC, INC."
"KNICKERBOCKER DIALYSIS, INC.",332615,SYRACUSE,54,0.50%,DAVITA
"DIALYSIS CLINIC INC, BRADHURST",332617,HAWTHORNE,65,0.00%,"DIALYSIS CLINIC, INC."
PELHAM PARKWAY DIALYSIS CENTER,332619,BRONX,51,0.50%,NOT A CHAIN
NEW HYDE PARK DIALYSIS CENTER,332620,NEW HYDE PARK,60,0.00%,NOT A CHAIN
"HAVEN DIALYSIS CENTERS, INC",332621,NEW YORK,58,0.50%,DAVITA
"NEW YORK AKC, INC",332622,BROOKLYN,67,0.00%,NOT A CHAIN
CAROL MOLINARO DIALYSIS CENTER,332625,STATEN ISLAND,34,1.50%,"DIALYSIS CLINIC, INC."
STRONG HEALTH DIALYSIS-BRIGHTON,332626,ROCHESTER,50,0.50%,RENAL RESEARCH INSTITUTE
STRONG HEALTH DIALYSIS-CLINTON CROSSINGS,332629,ROCHESTER,60,0.00%,FRESENIUS MEDICAL CARE
FMS-LIVING CENTER,332630,FAIRPORT,63,0.00%,FRESENIUS MEDICAL CARE
FMS-FINGER LAKES,332631,VICTOR,66,0.00%,FRESENIUS MEDICAL CARE
DCI - RUBIN DIALYSIS CENTERS - CLIFTON PARK,332632,CLIFTON PARK,54,0.50%,"DIALYSIS CLINIC, INC."
DSI DUTCHESS DIALYSIS,332633,POUGHKEEPSIE,48,1.00%,NOT A CHAIN
WOODMERE DIALYSIS LLC,332634,WOODMERE,29,1.50%,NOT A CHAIN
MILLENNIUM DIALYSIS,332635,BROOKLYN,57,0.50%,DAVITA
DCI NARROWS KIDNEY CENTER,332637,BROOKLYN,73,0.00%,"DIALYSIS CLINIC, INC."
ISLAND REHABILITATIVE SERVICES-CLOVE LAKES EXTENSION,332638,STATEN ISLAND,31,1.50%,NOT A CHAIN
USRC SOUTH FLUSHING,332639,FLUSHING,65,0.00%,NOT A CHAIN
BRONX RIVER NEPHRO CARE AT THE PLAZA REHAB & NURSING CENT,332640,BRONX,21,2.00%,NOT A CHAIN
COLUMBIA-GREENE DIALYSIS (CATSKILL DIVISION),332641,CATSKILL,42,1.00%,NOT A CHAIN
GRAND CONCOURSE DIALYSIS FACILITY,332642,BRONX,59,0.00%,NOT A CHAIN
FOUR SEASONS DIALYSIS CENTER LLC.,332644,BROOKLYN,44,1.00%,NOT A CHAIN
KINGS HARBOR HEALTH SERVICES LLC,332645,BRONX,32,1.50%,NOT A CHAIN
CENTRAL BROOKLYN DIALYSIS CENTER LLC,332646,BROOKLYN,46,1.00%,NOT A CHAIN
BROADWAY DIALYSIS CENTER AT ELMHURST HOSPITAL CENTER,332647,FLUSHING,39,1.00%,NOT A CHAIN
"NEWTOWN DIALYSIS CENTER, INC.",332648,BRONX,69,0.00%,NOT A CHAIN
CLEVE HILL DIALYSIS CENTER,332649,BUFFALO,48,1.00%,DAVITA
CRD ASSOCIATES LLC  CLIFFSIDE NURSING HOME,332650,FLUSHING,26,2.00%,NOT A CHAIN
CELIA DILL DIALYSIS CENTER,332651,CARMEL,65,0.00%,DAVITA
ASTORIA DIALYSIS CENTER,332652,ASTORIA,43,1.00%,NOT A CHAIN
"RENAL CARE OF NORTHERN NEW YORK, LLC",332653,WATERTOWN,51,0.50%,FRESENIUS MEDICAL CARE
"VESTAL HEALTHCARE, LLC",332654,VESTAL,59,0.00%,NOT A CHAIN
HAUPPAUGE DIALYSIS CENTER,332655,HAUPPAUGE,35,1.50%,FRESENIUS MEDICAL CARE
EASTCHESTER ROAD DIALYSIS CENTER,332656,BRONX,60,0.00%,DAVITA
CARILLON DIALYSIS LLC,332657,HUNTINGTON,54,0.50%,NOT A CHAIN
EAST END DIALYSIS MANAGEMENT LLC,332658,RIVERHEAD,45,1.00%,NOT A CHAIN
"QUEENS DIALYSIS AT THE PAVILION, LLC",332659,FLUSHING,44,1.00%,NOT A CHAIN
"LIVERPOOL DIALYSIS CENTER, LLC",332660,SYRACUSE,61,0.00%,FRESENIUS MEDICAL CARE
"MOUNT VERNON DIALYSIS,LLC",332661,MOUNT VERNON,15,2.00%,NOT A CHAIN
BEDFORD PARK DIALYSIS CENTER,332662,BRONX,65,0.00%,DAVITA
ISLAND REHABILITATIVE SERVICES - COMMACK,332663,COMMACK,51,0.50%,NOT A CHAIN
ST. JOSEPH'S - REGIONAL,332664,SYRACUSE,47,1.00%,NOT A CHAIN
ST. JOSEPH'S DIALYSIS - SENECA,332665,LIVERPOOL,62,0.00%,NOT A CHAIN
ST. JOSEPH'S - CAMILLUS,332666,CAMILLUS,65,0.00%,FRESENIUS MEDICAL CARE
ST. JOSEPH'S - NORTHEAST,332667,FAYETTEVILLE,66,0.00%,NOT A CHAIN
ST. JOSEPH'S - CORTLAND,332668,CORTLAND,68,0.00%,NOT A CHAIN
YONKERS EAST DIALYSIS CENTER,332669,YONKERS,70,0.00%,DAVITA
"LONG ISLAND RENAL CARE, INC.",332670,AMITYVILLE,55,0.50%,DAVITA
KNICKERBOCKER DIALYSIS INC,332671,BROOKLYN,30,1.50%,NOT A CHAIN
FMS-MONROE COMMUNITY DIALYSIS,332672,ROCHESTER,63,0.00%,FRESENIUS MEDICAL CARE
QUEENS-LONG ISLAND RENAL INSTITUTE,332673,NEW HYDE PARK,65,0.00%,NOT A CHAIN
LIBERTY HUDSON VALLEY DIALYSIS,332674,NEWBURGH,38,1.50%,NOT A CHAIN
UHS DIALYSIS - PARK AVENUE,332675,BINGHAMTON,57,0.50%,NOT A CHAIN
UHS DIALYSIS - PENNSYLVANIA AVENUE,332676,BINGHAMTON,53,0.50%,FRESENIUS MEDICAL CARE
BRONX CENTER FOR RENAL DIALYSIS,332677,BRONX,50,0.50%,NOT A CHAIN
"KNICKERBOCKER DIALYSIS, INC.",332678,BROOKLYN,57,0.50%,DAVITA
SOUTHTOWNS DIALYSIS CENTER,332679,HAMBURG,63,0.00%,DAVITA
THE ROGOSIN INSTITUTE AUBURNDALE DIALYSIS,332680,FLUSHING,72,0.00%,NOT A CHAIN
FRESENIUS KIDNEY CARE - WHEATFIELD,332681,NORTH TONAWANDA,66,0.00%,FRESENIUS MEDICAL CARE
NIAGARA FALLS KIDNEY CARE CENTER,332682,NIAGARA FALLS,44,1.00%,DAVITA
"RIVER RENAL SERVICES, LLC",332683,NEW YORK,48,1.00%,NOT A CHAIN
"DIALYSIS CLINIC, INC.",332684,ALBANY,62,0.00%,"DIALYSIS CLINIC, INC."
US RENAL CARE TONAWANDA DIALYSIS,332685,TONAWANDA,64,0.00%,NOT A CHAIN
US RENAL CARE CHEEKTOWAGA DIALYSIS,332686,CHEEKTOWAGA,48,1.00%,NOT A CHAIN
US RENAL CARE WILLIAMSVILLE DIALYSIS,332687,WILLIAMSVILLE,57,0.50%,NOT A CHAIN
FISHKILL DIALYSIS CENTER,332688,FISHKILL,52,0.50%,FRESENIUS MEDICAL CARE
BRIDGEWATER CENTER FOR DIALYSIS,332690,BINGHAMTON,58,0.50%,NOT A CHAIN
"RENAL CARE OF ROCKLAND, INC.",332691,MONTEBELLO,40,1.00%,NOT A CHAIN
BROOKLYN DIALYSIS CENTER LLC,332692,BROOKLYN,44,1.00%,NOT A CHAIN
"MOHAWK VALLEY DIALYSIS CENTER, INC.",332693,AMSTERDAM,57,0.50%,AMERICAN RENAL ASSOCIATES
ROCKAWAY HD LLC,332694,FAR ROCKAWAY,21,2.00%,NOT A CHAIN
WORKMEN'S CIRCLE DIALYSIS CENTER,332695,BRONX,38,1.50%,NOT A CHAIN
FRIEDWALD CENTER FOR DIALYSIS,332696,NEW CITY,52,0.50%,NOT A CHAIN
FRESENIUS KIDNEY CARE - NEWARK,332697,NEWARK,79,0.00%,FRESENIUS MEDICAL CARE
FMS-SOUTHERN MANHATTAN DIALYSIS CENTER (MONROE COUNTY),332698,WEBSTER,55,0.50%,FRESENIUS MEDICAL CARE
AVANTUS UPPER MANHATTAN DIALYSIS CENTER,332699,NEW YORK,51,0.50%,FRESENIUS MEDICAL CARE
FMS-NISKAYUNA DIALYSIS CENTER,332700,SCHENECTADY,47,1.00%,FRESENIUS MEDICAL CARE
NEWARK WAYNE DIALYSIS CENTER,332701,NEWARK,64,0.00%,DAVITA
H.K. FREEDMAN RENAL CENTER,332702,PLATTSBURGH,51,0.50%,AMERICAN RENAL ASSOCIATES
JAMESTOWN DIALYSIS CENTER,332703,JAMESTOWN,79,0.00%,DAVITA
AVANTUS IRVING PLACE DIALYSIS CENTER,332704,NEW YORK,49,0.50%,FRESENIUS MEDICAL CARE
AVANTUS UPPER EASTSIDE DIALYSIS,332705,NEW YORK,41,1.00%,FRESENIUS MEDICAL CARE
AVANTUS HARLEM GREEN DIALYSIS,332706,NEW YORK,67,0.00%,FRESENIUS MEDICAL CARE
ORANGE DIALYSIS CENTER,332707,MIDDLETOWN,76,0.00%,DAVITA
WATERS PLACE DIALYSIS CENTER,332708,BRONX,53,0.50%,DAVITA
LOWVILLE DIALYSIS CENTER,332709,LOWVILLE,74,0.00%,DAVITA
"ELIZABETHTOWN CENTER, LLC",332710,ELIZABETHTOWN,69,0.00%,AMERICAN RENAL ASSOCIATES
"KNICKERBOCKER DIALYSIS, INC",332711,STATEN ISLAND,63,0.00%,DAVITA
"BUSHWICK CENTER FOR RENAL DIALYSIS, LLC",332712,BROOKLYN,49,0.50%,NOT A CHAIN
FMS-FREEDOM CENTER OF BUFFALO,332713,WILLIAMSVILLE,25,2.00%,FRESENIUS MEDICAL CARE
ROGOSIN WEST SIDE,332714,NEW YORK,69,0.00%,NOT A CHAIN
HASTINGS HEMODIALYSIS CENTER,332715,MALONE,82,0.00%,AMERICAN RENAL ASSOCIATES
PROSPECT PARK DIALYSIS,332716,BROOKLYN,39,1.00%,NOT A CHAIN
MASSENA DIALYSIS CENTER,332717,MASSENA,73,0.00%,AMERICAN RENAL ASSOCIATES
WESTCHESTER CENTER FOR RENAL CARE,332718,MOUNT VERNON,22,2.00%,NOT A CHAIN
FRESENIUS KIDNEY CARE - SARATOGA SPRINGS,332719,SARATOGA SPRINGS,77,0.00%,FRESENIUS MEDICAL CARE
NIAGARA DIALYSIS CENTER,332720,NIAGARA FALLS,69,0.00%,DAVITA
LONG ISLAND BAY SHORE DIALYSIS CENTER,332721,BAY SHORE,48,1.00%,FRESENIUS MEDICAL CARE
FREEDOM CENTER OF ROCHESTER,332723,ROCHESTER,65,0.00%,FRESENIUS MEDICAL CARE
CORAM DIALYSIS CENTER,332724,CENTEREACH,57,0.50%,FRESENIUS MEDICAL CARE
FMS - GREECE DIALYSIS CENTER,332725,GREECE,43,1.00%,FRESENIUS MEDICAL CARE
REGENCY DIALYSIS CENTER,332726,YONKERS,57,0.50%,NOT A CHAIN
PARK AVENUE DIALYSIS CENTER LLC,332727,NEW YORK,57,0.50%,NOT A CHAIN
"KNICKERBOCKER DIALYSIS, INC",332728,BRONX,52,0.50%,DAVITA
"KNICKERBOCKER DIALYSIS, INC",332729,BRONX,58,0.50%,DAVITA
"KNICKERBOCKER DIALYSIS, INC.",332730,EAST ROCHESTER,83,0.00%,DAVITA
"MILLS POND DIALYSIS CENTER, LLC",332731,WEST BABYLON,39,1.00%,NOT A CHAIN
"KNICKERBOCKER DIALYSIS, INC",332732,CORNING,63,0.00%,DAVITA
SCHUYLER DIALYSIS,332733,MONTOUR FALLS,72,0.00%,DAVITA
GENESIS SERVICES,332734,GLENDALE,39,1.00%,NOT A CHAIN
IVY DIALYSIS,332735,ELMIRA,50,0.50%,DAVITA
FREEDOM CENTER OF WESTMERE,332736,ALBANY,50,0.50%,NOT A CHAIN
PREMIER DIALYSIS CENTER,332737,GOSHEN,52,0.50%,AMERICAN RENAL ASSOCIATES
NEW YORK DIALYSIS SERVICES INC.,332738,HICKSVILLE,51,0.50%,FRESENIUS MEDICAL CARE
PALM GARDEN DIALYSIS CENTER,332739,BROOKLYN,28,2.00%,NOT A CHAIN
SCHENECTADY PARTNERS LLC,332740,SCHENECTADY,68,0.00%,AMERICAN RENAL ASSOCIATES
DCI-EAST GREENBUSH,332741,EAST GREENBUSH,61,0.00%,"DIALYSIS CLINIC, INC."
PENINSULA CONTINUUM SERVICES LLC,332742,FAR ROCKAWAY,39,1.00%,NOT A CHAIN
VESTAL HEALTHCARE LLC,332743,FRESH MEADOWS,78,0.00%,FRESENIUS MEDICAL CARE
GLOVERSVILLE DIALYSIS CENTER,332744,GLOVERSVILLE,49,0.50%,AMERICAN RENAL ASSOCIATES
NEW YORK DIALYSIS SERVICES INC.,332745,BROOKLYN,45,1.00%,FRESENIUS MEDICAL CARE
"VESTAL HEALTHCARE, LLC",332746,BRONX,83,0.00%,FRESENIUS MEDICAL CARE
US RENAL CARE WEST CHEEKTOWAGA,332747,BUFFALO,58,0.50%,"US RENAL CARE, INC."
"NEW YORK DIALYSIS SERVICES, INC.",332748,HUNTINGTON STATION,60,0.00%,FRESENIUS MEDICAL CARE
KNICKERBOCKER DIALYSIS INC.,332749,BROOKLYN,41,1.00%,DAVITA
"TRUE NORTH DIALYSIS CENTER, LLC",332750,FLORAL PARK,87,0.00%,DAVITA
HPLD PARTNERS LLC,332751,POUGHKEEPSIE,50,0.50%,FRESENIUS MEDICAL CARE
KNICKERBOCKER DIALYSIS INC.,332752,EAST ISLIP,67,0.00%,DAVITA
"MAIN STREET DIALYSIS CENTER, LLC",332753,FREEPORT,32,1.50%,NOT A CHAIN
JULIA AND ISRAEL WALDBAUM DIALYSIS,332754,GREAT NECK,49,0.50%,DAVITA
"DIALYZE DIRECT NY, LLC",332755,BROOKLYN,57,0.50%,NOT A CHAIN
FRESENIUS KIDNEY CARE - HORNELL,332756,HORNELL,37,1.50%,FRESENIUS MEDICAL CARE
"LIBERTY RC, INC.",332757,BUFFALO,69,0.00%,DAVITA
DSI DUTCHESS DIALYSIS,332758,NEWBURGH,59,0.00%,"US RENAL CARE, INC."
KNICKERBOCKER DIALYSIS INC.,332759,ROCHESTER,62,0.00%,DAVITA
WOODMERE DIALYSIS LLC,332760,SOUTHAMPTON,22,2.00%,NOT A CHAIN
KNICKERBOCKER DIALYSIS,332761,BRONX,49,0.50%,DAVITA
UTICA PARTNERS LLC,332762,ONEIDA,67,0.00%,AMERICAN RENAL ASSOCIATES
SEA CREST ACQUISITION LLC,332763,BROOKLYN,9,2.00%,NOT A CHAIN
KNICKERBOCKER DIALYSIS INC.,332764,BROOKLYN,72,0.00%,DAVITA
"NEW YORK DIALYSIS SERVICES, INC",332765,LINDENHURST,41,1.00%,NEW YORK DIALYSIS SERVICES
KNICKERBOCKER DIALYSIS,332766,JAMAICA,71,0.00%,DAVITA
KNICKERBOCKER DIALYSIS INC.,332768,BUFFALO,58,0.50%,NOT A CHAIN
ATLAS PARK DIALYSIS,332769,GLENDALE,44,1.00%,DAVITA
"GLENGARIFF DIALYSIS CENTER, LLC",332775,GLEN COVE,5,2.00%,NOT A CHAIN
LIJ SATELLITE DIALYSIS FACILITY,333503,QUEENS VILLAGE,71,0.00%,NOT A CHAIN
MT. SINAI KIDNEY CENTER AT EAST RIVER PLAZA,333511,NEW YORK,64,0.00%,NOT A CHAIN
BROOKLYN HOSPITAL CENTER II,333515,BROOKLYN,59,0.00%,NOT A CHAIN
OLEAN GENERAL DIALYSIS,333519,OLEAN,60,0.00%,NOT A CHAIN
FAXTON ST. LUKE'S HEALTHCARE - HERKIMER,333520,HERKIMER,43,1.00%,NOT A CHAIN
WINTHROP UNIVERSITY HOSPITAL,333522,BETHPAGE,73,0.00%,NOT A CHAIN
LAKE PLAINS DIALYSIS AT BATAVIA,333526,BATAVIA,34,1.50%,NOT A CHAIN
LONG ISLAND COMMUNITY HOSPITAL,333527,PATCHOGUE,75,0.00%,NOT A CHAIN
FAXTON ST. LUKE'S HEALTHCARE - ROME,333529,ROME,56,0.50%,NOT A CHAIN
BASSETT HEALTHCARE,333531,ONEONTA,52,0.50%,NOT A CHAIN
STONY BROOK SOUTHAMPTON HOSPITAL REGIONAL DIALYSIS CENTER,333533,HAMPTON BAYS,78,0.00%,NOT A CHAIN
SOUTH NASSAU OUTPATIENT DIALYSIS CENTER,333535,OCEANSIDE,82,0.00%,NOT A CHAIN
DR RAVINDER N AGARWAL,333536,OGDENSBURG,62,0.00%,NOT A CHAIN
WINTHROP UNIV. HOSP AT SUN HARBOR,333543,ROSLYN HEIGHTS,63,0.00%,NOT A CHAIN
SUNY PARKSIDE DIALYSIS CENTER,333544,BROOKLYN,40,1.00%,NOT A CHAIN
TRUDE WEISHAUPT MEMORIAL DIALYSIS CENTER,333547,FRESH MEADOWS,69,0.00%,NOT A CHAIN
KINGSTON HOSPITAL DIALYSIS CENTER- SATELLITE,333548,KINGSTON,56,0.50%,NOT A CHAIN
FAXTON ST. LUKE'S HEALTHCARE - MASONIC,333552,UTICA,63,0.00%,NOT A CHAIN
NOYES CENTER FOR KIDNEY DISEASE AND DIALYSIS,333553,GENESEO,42,1.00%,NOT A CHAIN
ROCHESTER GENERAL HOSPITAL DIALYSIS CENTER,333554,ROCHESTER,57,0.50%,NOT A CHAIN
NASSAU UNIVERSITY MEDICAL CENTER,333555,UNIONDALE,46,1.00%,NOT A CHAIN
MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,333556,BRONX,70,0.00%,NOT A CHAIN
UNITY HOSPITAL DIALYSIS AT SPENCERPORT,333558,SPENCERPORT,57,0.50%,NOT A CHAIN
NEW YORK - PRESBYTERIAN HOSPITAL - COLUMBIA,333560,NEW YORK,42,1.00%,NOT A CHAIN
UNITY HOSPITAL OF ROCHESTER - ST. MARY'S,333561,ROCHESTER,61,0.00%,NOT A CHAIN
BASSETT HEALTHCARE LITTLE FALLS DIALYSIS,333563,LITTLE FALLS,29,1.50%,NOT A CHAIN
ADIRONDACK MEDICAL CENTER - DIALYSIS,333564,TUPPER LAKE,86,0.00%,NOT A CHAIN
KINGSBROOK JEWISH MEDICAL CENTER - RNH DIALYSIS,333565,BROOKLYN,36,1.50%,NOT A CHAIN
UNITY DIALYSIS AT CHILI,333566,ROCHESTER,62,0.00%,NOT A CHAIN
FAXTON ST LUKE'S HEALTHCARE - HAMILTON,333567,HAMILTON,73,0.00%,NOT A CHAIN
FSLH-ST. LUKE'S HOME RENAL DIALYSIS,333568,UTICA,67,0.00%,NOT A CHAIN
ROCHESTER GENERAL HOSPITAL - BAY CREEK DIALYSIS CENTER,333569,WEBSTER,66,0.00%,NOT A CHAIN
WFU BAPTIST MEDICAL CENTER DIALYSIS UNIT,342304,WINSTON SALEM,6,2.00%,WAKE FOREST UNIVERSITY
CAROLINAS MEDICAL CENTER DIALYSIS UNIT,342306,CHARLOTTE,53,0.50%,NOT A CHAIN
PRESBYTERIAN HOSPITAL,342309,CHARLOTTE,36,1.50%,NOT A CHAIN
WILKES DIALYSIS CENTER,342313,NORTH WILKESBORO,53,0.50%,WAKE FOREST UNIVERSITY
GREENVILLE DIALYSIS CENTER,342502,GREENVILLE,53,0.50%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE CHARLOTTE,342503,CHARLOTTE,56,0.50%,FRESENIUS MEDICAL CARE
GREENSBORO KIDNEY CENTER,342504,GREENSBORO,56,0.50%,FRESENIUS MEDICAL CARE
PIEDMONT DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342505,WINSTON SALEM,52,0.50%,WAKE FOREST UNIVERSITY
ASHEVILLE KIDNEY CENTER INC,342506,ASHEVILLE,55,0.50%,DAVITA
WILSON DIALYSIS,342507,WILSON,50,0.50%,DAVITA
BMA OF LENOIR INC,342509,LENOIR,72,0.00%,FRESENIUS MEDICAL CARE
FAYETTEVILLE KIDNEY CENTER,342510,FAYETTEVILLE,32,1.50%,FRESENIUS MEDICAL CARE
SE DIALYSIS WILMINGTON DAVITA FACILITY,342511,WILMINGTON,54,0.50%,DAVITA
RALEIGH DIALYSIS CLINIC INC,342512,RALEIGH,49,0.50%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE GASTONIA,342513,GASTONIA,58,0.50%,FRESENIUS MEDICAL CARE
HIGH POINT KIDNEY CENTER OF WAKE FOREST UNIVERSITY,342514,HIGH POINT,55,0.50%,WAKE FOREST UNIVERSITY
ELIZABETH CITY DIALYSIS,342515,ELIZABETH CITY,65,0.00%,DAVITA
FMC DIALYSIS SERVICES OF HICKORY,342516,HICKORY,70,0.00%,FRESENIUS MEDICAL CARE
BMA OF ROCKY MOUNT INC,342517,ROCKY MOUNT,63,0.00%,FRESENIUS MEDICAL CARE
FMC OF KINSTON DIALYSIS UNIT,342518,KINSTON,45,1.00%,FRESENIUS MEDICAL CARE
FMC DIALYSIS SERVICES NEUSE RIVER,342520,OXFORD,67,0.00%,FRESENIUS MEDICAL CARE
SOUTHEASTERN DIALYSIS DAVITA WHITEVILLE,342521,WHITEVILLE,68,0.00%,DAVITA
FMC WAKE DIALYSIS CLINIC,342522,RALEIGH,48,1.00%,FRESENIUS MEDICAL CARE
SOUTH CHARLOTTE DIALYSIS,342523,CHARLOTTE,62,0.00%,DAVITA
BMA OF ASHEBORO,342524,ASHEBORO,69,0.00%,FRESENIUS MEDICAL CARE
METROLINA KIDNEY CENTER MONROE,342525,MONROE,79,0.00%,FRESENIUS MEDICAL CARE
UNION COUNTY DIALYSIS,342526,MONROE,60,0.00%,DAVITA
STATESVILLE DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342527,STATESVILLE,60,0.00%,WAKE FOREST UNIVERSITY
FMC LUMBERTON DIALYSIS UNIT,342528,LUMBERTON,46,1.00%,FRESENIUS MEDICAL CARE
DCI SHELBY INC,342529,SHELBY,51,0.50%,"DIALYSIS CLINIC, INC."
GOLDSBORO DIALYSIS,342531,GOLDSBORO,68,0.00%,DAVITA
TOTAL RENAL CARE OF NORTH CAROLINA LLC,342532,JACKSONVILLE,72,0.00%,DAVITA
BMA OF BURLINGTON INC,342533,BURLINGTON,48,1.00%,FRESENIUS MEDICAL CARE
NEW BERN DIALYSIS,342534,NEW BERN,59,0.00%,FRESENIUS MEDICAL CARE
SOUTHEASTERN DIALYSIS KENANSVILLE,342535,KENANSVILLE,47,1.00%,DAVITA
DIALYSIS CARE OF ROCKINGHAM COUNTY INC,342536,EDEN,69,0.00%,DAVITA
BMA OF SOUTH GREENSBORO INC,342537,GREENSBORO,55,0.50%,FRESENIUS MEDICAL CARE
FREEDOM LAKE DIALYSIS CENTER,342538,DURHAM,56,0.50%,FRESENIUS MEDICAL CARE
DIALYSIS CARE OF RICHMOND COUNTY INC,342539,HAMLET,63,0.00%,DAVITA
FMCNA LAURINBURG DIALYSIS CENTER,342540,LAURINBURG,46,1.00%,FRESENIUS MEDICAL CARE
EDENTON DIALYSIS,342541,EDENTON,70,0.00%,DAVITA
BMA OF ROANOKE RAPIDS INC,342542,ROANOKE RAPIDS,48,1.00%,FRESENIUS MEDICAL CARE
VANCE COUNTY DIALYSIS,342543,HENDERSON,58,0.50%,DAVITA
CARY KIDNEY CENTER,342544,CARY,61,0.00%,FRESENIUS MEDICAL CARE
FMC FOUR OAKS,342545,FOUR OAKS,73,0.00%,FRESENIUS MEDICAL CARE
DIALYSIS CARE OF ROWAN COUNTY INC,342546,SALISBURY,38,1.50%,DAVITA
BMA OF WINDSOR INC,342547,WINDSOR,74,0.00%,FRESENIUS MEDICAL CARE
CHARLOTTE DIALYSIS,342548,CHARLOTTE,60,0.00%,DAVITA
FMC OF NORTH CHARLOTTE,342549,CHARLOTTE,47,1.00%,FRESENIUS MEDICAL CARE
DURHAM DIALYSIS,342550,DURHAM,49,0.50%,DAVITA
MOUNT AIRY DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342551,MOUNT AIRY,75,0.00%,WAKE FOREST UNIVERSITY
DSI CHARLOTTE LATROBE DIALYSIS,342552,CHARLOTTE,51,0.50%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
LEXINGTON DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342553,LEXINGTON,42,1.00%,WAKE FOREST UNIVERSITY
FRESENIUS KIDNEY CARE WEST CHARLOTTE,342554,CHARLOTTE,63,0.00%,FRESENIUS MEDICAL CARE
